timestamp,frequency_Hz,frequency_MHz,rms,active
2025-08-30T13:02:43.092936,146300000,146.3,0.0,0
2025-08-30T13:02:43.189756,146325000,146.325,0.0,0
2025-08-30T13:02:43.275959,146350000,146.35,0.0,0
2025-08-30T13:02:43.357674,146375000,146.375,0.0,0
2025-08-30T13:02:43.438508,146400000,146.4,0.0,0
2025-08-30T13:02:43.525448,146425000,146.425,0.0,0
2025-08-30T13:02:43.608157,146450000,146.45,0.0,0
2025-08-30T13:02:43.704507,146475000,146.475,0.0,0
2025-08-30T13:02:43.788111,146500000,146.5,0.0,0
2025-08-30T13:02:43.874867,146525000,146.525,0.0,0
2025-08-30T13:02:43.966804,146550000,146.55,0.0,0
2025-08-30T13:02:44.057035,146575000,146.575,0.0,0
2025-08-30T13:02:44.141977,146600000,146.6,0.0,0
2025-08-30T13:02:44.225285,146625000,146.625,0.0,0
2025-08-30T13:02:44.309055,146650000,146.65,0.0,0
2025-08-30T13:02:44.396434,146675000,146.675,0.0,0
2025-08-30T13:02:44.482442,146700000,146.7,0.0,0
2025-08-30T13:02:44.568742,146725000,146.725,0.0,0
2025-08-30T13:02:44.656136,146750000,146.75,0.0,0
2025-08-30T13:02:44.740875,146775000,146.775,0.0,0
2025-08-30T13:02:44.828534,146800000,146.8,0.0,0
2025-08-30T13:02:44.915901,146825000,146.825,0.0,0
2025-08-30T13:02:45.002520,146850000,146.85,0.0,0
2025-08-30T13:02:45.092033,146875000,146.875,0.0,0
2025-08-30T13:02:45.181283,146900000,146.9,0.0,0
2025-08-30T13:02:45.266906,146925000,146.925,0.0,0
2025-08-30T13:02:45.359396,146950000,146.95,0.0,0
2025-08-30T13:02:45.441342,146975000,146.975,0.0,0
2025-08-30T13:02:45.522041,147000000,147.0,0.0,0
2025-08-30T13:02:45.608992,147025000,147.025,0.0,0
2025-08-30T13:02:45.704956,147050000,147.05,0.0,0
2025-08-30T13:02:45.790168,147075000,147.075,0.0,0
2025-08-30T13:02:45.874664,147100000,147.1,0.0,0
2025-08-30T13:02:45.959921,147125000,147.125,0.0,0
2025-08-30T13:02:46.051551,147150000,147.15,0.0,0
2025-08-30T13:02:46.141818,147175000,147.175,0.0,0
2025-08-30T13:02:46.225181,147200000,147.2,0.0,0
2025-08-30T13:02:46.306288,147225000,147.225,0.0,0
2025-08-30T13:02:46.392492,147250000,147.25,0.0,0
2025-08-30T13:02:46.478478,147275000,147.275,0.0,0
2025-08-30T13:02:46.563309,147300000,147.3,0.0,0
2025-08-30T13:02:46.652987,147325000,147.325,0.0,0
2025-08-30T13:02:46.743025,147350000,147.35,0.0,0
2025-08-30T13:02:46.824135,147375000,147.375,0.0,0
2025-08-30T13:02:46.908543,147400000,147.4,0.0,0
2025-08-30T13:02:46.990181,147425000,147.425,0.0,0
2025-08-30T13:02:47.074464,147450000,147.45,0.0,0
2025-08-30T13:02:47.168291,147475000,147.475,0.0,0
2025-08-30T13:02:47.250925,147500000,147.5,0.0,0
2025-08-30T13:02:47.368275,147525000,147.525,0.0,0
2025-08-30T13:02:47.456742,147550000,147.55,0.0,0
2025-08-30T13:02:47.556960,147575000,147.575,0.0,0
2025-08-30T13:02:47.642384,147600000,147.6,0.0,0
2025-08-30T13:02:47.738404,147625000,147.625,0.0,0
2025-08-30T13:02:47.824134,147650000,147.65,0.0,0
2025-08-30T13:02:47.911092,147675000,147.675,0.0,0
2025-08-30T13:02:47.994542,147700000,147.7,0.0,0
2025-08-30T13:02:48.080200,147725000,147.725,0.0,0
2025-08-30T13:02:48.168641,147750000,147.75,0.0,0
2025-08-30T13:02:48.258733,147775000,147.775,0.0,0
2025-08-30T13:02:48.342426,147800000,147.8,0.0,0
2025-08-30T13:02:48.433552,147825000,147.825,0.0,0
2025-08-30T13:02:48.517211,147850000,147.85,0.0,0
2025-08-30T13:02:48.601146,147875000,147.875,0.0,0
2025-08-30T13:02:48.688549,147900000,147.9,0.0,0
2025-08-30T13:02:48.771977,147925000,147.925,0.0,0
2025-08-30T13:02:48.856664,147950000,147.95,0.0,0
2025-08-30T13:02:48.942174,147975000,147.975,0.0,0
2025-08-30T13:02:49.033574,148000000,148.0,0.0,0
2025-08-30T13:02:50.126815,144000000,144.0,0.0,0
2025-08-30T13:02:50.208761,144025000,144.025,0.0,0
2025-08-30T13:02:50.292502,144050000,144.05,0.0,0
2025-08-30T13:02:50.376452,144075000,144.075,0.0,0
2025-08-30T13:02:50.458778,144100000,144.1,0.0,0
2025-08-30T13:02:50.542449,144125000,144.125,0.0,0
2025-08-30T13:02:50.629131,144150000,144.15,0.0,0
2025-08-30T13:02:50.712533,144175000,144.175,0.0,0
2025-08-30T13:02:50.795887,144200000,144.2,0.0,0
2025-08-30T13:02:50.881062,144225000,144.225,0.0,0
2025-08-30T13:02:50.968021,144250000,144.25,0.0,0
2025-08-30T13:02:51.060835,144275000,144.275,0.0,0
2025-08-30T13:02:51.148003,144300000,144.3,0.0,0
2025-08-30T13:02:51.235256,144325000,144.325,0.0,0
2025-08-30T13:02:51.326008,144350000,144.35,0.0,0
2025-08-30T13:02:51.408598,144375000,144.375,0.0,0
2025-08-30T13:02:51.491356,144400000,144.4,0.0,0
2025-08-30T13:02:51.574625,144425000,144.425,0.0,0
2025-08-30T13:02:51.668688,144450000,144.45,0.0,0
2025-08-30T13:02:51.758059,144475000,144.475,0.0,0
2025-08-30T13:02:51.847127,144500000,144.5,0.0,0
2025-08-30T13:02:51.934633,144525000,144.525,0.0,0
2025-08-30T13:02:52.022083,144550000,144.55,0.0,0
2025-08-30T13:02:52.108589,144575000,144.575,0.0,0
2025-08-30T13:02:52.194120,144600000,144.6,0.0,0
2025-08-30T13:02:52.277511,144625000,144.625,0.0,0
2025-08-30T13:02:52.359545,144650000,144.65,0.0,0
2025-08-30T13:02:52.441438,144675000,144.675,0.0,0
2025-08-30T13:02:52.527767,144700000,144.7,0.0,0
2025-08-30T13:02:52.613781,144725000,144.725,0.0,0
2025-08-30T13:02:52.697847,144750000,144.75,0.0,0
2025-08-30T13:02:52.785254,144775000,144.775,0.0,0
2025-08-30T13:02:52.867830,144800000,144.8,0.0,0
2025-08-30T13:02:52.956809,144825000,144.825,0.0,0
2025-08-30T13:02:53.041965,144850000,144.85,0.0,0
2025-08-30T13:02:53.125208,144875000,144.875,0.0,0
2025-08-30T13:02:53.209144,144900000,144.9,0.0,0
2025-08-30T13:02:53.301333,144925000,144.925,0.0,0
2025-08-30T13:02:53.395861,144950000,144.95,0.0,0
2025-08-30T13:02:53.481628,144975000,144.975,0.0,0
2025-08-30T13:02:53.564633,145000000,145.0,0.0,0
2025-08-30T13:02:53.653182,145025000,145.025,0.0,0
2025-08-30T13:02:53.742912,145050000,145.05,0.0,0
2025-08-30T13:02:53.822594,145075000,145.075,0.0,0
2025-08-30T13:02:53.907589,145100000,145.1,0.0,0
2025-08-30T13:02:53.997959,145125000,145.125,0.0,0
2025-08-30T13:02:54.084798,145150000,145.15,0.0,0
2025-08-30T13:02:54.168525,145175000,145.175,0.0,0
2025-08-30T13:02:54.259866,145200000,145.2,0.0,0
2025-08-30T13:02:54.341486,145225000,145.225,0.0,0
2025-08-30T13:02:54.424117,145250000,145.25,0.0,0
2025-08-30T13:02:54.507776,145275000,145.275,0.0,0
2025-08-30T13:02:54.590606,145300000,145.3,0.0,0
2025-08-30T13:02:54.676768,145325000,145.325,0.0,0
2025-08-30T13:02:54.764692,145350000,145.35,0.0,0
2025-08-30T13:02:54.846098,145375000,145.375,0.0,0
2025-08-30T13:02:54.930059,145400000,145.4,0.0,0
2025-08-30T13:02:55.014261,145425000,145.425,0.0,0
2025-08-30T13:02:55.096663,145450000,145.45,0.0,0
2025-08-30T13:02:55.176851,145475000,145.475,0.0,0
2025-08-30T13:02:55.259318,145500000,145.5,0.0,0
2025-08-30T13:02:55.356515,145525000,145.525,0.0,0
2025-08-30T13:02:55.440722,145550000,145.55,0.0,0
2025-08-30T13:02:55.525369,145575000,145.575,0.0,0
2025-08-30T13:02:55.609256,145600000,145.6,0.0,0
2025-08-30T13:02:55.695863,145625000,145.625,0.0,0
2025-08-30T13:02:55.780059,145650000,145.65,0.0,0
2025-08-30T13:02:55.869263,145675000,145.675,0.0,0
2025-08-30T13:02:55.960401,145700000,145.7,0.0,0
2025-08-30T13:02:56.046714,145725000,145.725,0.0,0
2025-08-30T13:02:56.128020,145750000,145.75,0.0,0
2025-08-30T13:02:56.215432,145775000,145.775,0.0,0
2025-08-30T13:02:56.326807,145800000,145.8,0.0,0
2025-08-30T13:02:56.414805,145825000,145.825,0.0,0
2025-08-30T13:02:56.498436,145850000,145.85,0.0,0
2025-08-30T13:02:56.585968,145875000,145.875,0.0,0
2025-08-30T13:02:56.669618,145900000,145.9,0.0,0
2025-08-30T13:02:56.755094,145925000,145.925,0.0,0
2025-08-30T13:02:56.841274,145950000,145.95,0.0,0
2025-08-30T13:02:56.926925,145975000,145.975,0.0,0
2025-08-30T13:02:57.012974,146000000,146.0,0.0,0
2025-08-30T13:02:57.096586,146025000,146.025,0.0,0
2025-08-30T13:02:57.182233,146050000,146.05,0.0,0
2025-08-30T13:02:57.272600,146075000,146.075,0.0,0
2025-08-30T13:02:57.359144,146100000,146.1,0.0,0
2025-08-30T13:02:57.442585,146125000,146.125,0.0,0
2025-08-30T13:02:57.531685,146150000,146.15,0.0,0
2025-08-30T13:02:57.618083,146175000,146.175,0.0,0
2025-08-30T13:02:57.707054,146200000,146.2,0.0,0
2025-08-30T13:02:57.791654,146225000,146.225,0.0,0
2025-08-30T13:02:57.876563,146250000,146.25,0.0,0
2025-08-30T13:02:57.958886,146275000,146.275,0.0,0
2025-08-30T13:02:58.042592,146300000,146.3,0.0,0
2025-08-30T13:02:58.133961,146325000,146.325,0.0,0
2025-08-30T13:02:58.222389,146350000,146.35,0.0,0
2025-08-30T13:02:58.315268,146375000,146.375,0.0,0
2025-08-30T13:02:58.408252,146400000,146.4,0.0,0
2025-08-30T13:02:58.491300,146425000,146.425,0.0,0
2025-08-30T13:02:58.574125,146450000,146.45,0.0,0
2025-08-30T13:02:58.657448,146475000,146.475,0.0,0
2025-08-30T13:02:58.742521,146500000,146.5,0.0,0
2025-08-30T13:02:58.827861,146525000,146.525,0.0,0
2025-08-30T13:02:58.918578,146550000,146.55,0.0,0
2025-08-30T13:02:59.007169,146575000,146.575,0.0,0
2025-08-30T13:02:59.093747,146600000,146.6,0.0,0
2025-08-30T13:02:59.185817,146625000,146.625,0.0,0
2025-08-30T13:02:59.276386,146650000,146.65,0.0,0
2025-08-30T13:02:59.366860,146675000,146.675,0.0,0
2025-08-30T13:02:59.455160,146700000,146.7,0.0,0
2025-08-30T13:02:59.543145,146725000,146.725,0.0,0
2025-08-30T13:02:59.627077,146750000,146.75,0.0,0
2025-08-30T13:02:59.708794,146775000,146.775,0.0,0
2025-08-30T13:02:59.792509,146800000,146.8,0.0,0
2025-08-30T13:02:59.877853,146825000,146.825,0.0,0
2025-08-30T13:02:59.968126,146850000,146.85,0.0,0
2025-08-30T13:03:00.049891,146875000,146.875,0.0,0
2025-08-30T13:03:00.135179,146900000,146.9,0.0,0
2025-08-30T13:03:00.226297,146925000,146.925,0.0,0
2025-08-30T13:03:00.311164,146950000,146.95,0.0,0
2025-08-30T13:03:00.402914,146975000,146.975,0.0,0
2025-08-30T13:03:00.490420,147000000,147.0,0.0,0
2025-08-30T13:03:00.575243,147025000,147.025,0.0,0
2025-08-30T13:03:00.668239,147050000,147.05,0.0,0
2025-08-30T13:03:00.750943,147075000,147.075,0.0,0
2025-08-30T13:03:00.840625,147100000,147.1,0.0,0
2025-08-30T13:03:00.925715,147125000,147.125,0.0,0
2025-08-30T13:03:01.010385,147150000,147.15,0.0,0
2025-08-30T13:03:01.092052,147175000,147.175,0.0,0
2025-08-30T13:03:01.174152,147200000,147.2,0.0,0
2025-08-30T13:03:01.260594,147225000,147.225,0.0,0
2025-08-30T13:03:01.350293,147250000,147.25,0.0,0
2025-08-30T13:03:01.437159,147275000,147.275,0.0,0
2025-08-30T13:03:01.520116,147300000,147.3,0.0,0
2025-08-30T13:03:01.607675,147325000,147.325,0.0,0
2025-08-30T13:03:01.693663,147350000,147.35,0.0,0
2025-08-30T13:03:01.781962,147375000,147.375,0.0,0
2025-08-30T13:03:01.866471,147400000,147.4,0.0,0
2025-08-30T13:03:01.958277,147425000,147.425,0.0,0
2025-08-30T13:03:02.043310,147450000,147.45,0.0,0
2025-08-30T13:03:02.135025,147475000,147.475,0.0,0
2025-08-30T13:03:02.224551,147500000,147.5,0.0,0
2025-08-30T13:03:02.308693,147525000,147.525,0.0,0
2025-08-30T13:03:02.391981,147550000,147.55,0.0,0
2025-08-30T13:03:02.475363,147575000,147.575,0.0,0
2025-08-30T13:03:02.559321,147600000,147.6,0.0,0
2025-08-30T13:03:02.639847,147625000,147.625,0.0,0
2025-08-30T13:03:02.729786,147650000,147.65,0.0,0
2025-08-30T13:03:02.818626,147675000,147.675,0.0,0
2025-08-30T13:03:02.907766,147700000,147.7,0.0,0
2025-08-30T13:03:02.991532,147725000,147.725,0.0,0
2025-08-30T13:03:03.081544,147750000,147.75,0.0,0
2025-08-30T13:03:03.177249,147775000,147.775,0.0,0
2025-08-30T13:03:03.259843,147800000,147.8,0.0,0
2025-08-30T13:03:03.342599,147825000,147.825,0.0,0
2025-08-30T13:03:03.426887,147850000,147.85,0.0,0
2025-08-30T13:03:03.514974,147875000,147.875,0.0,0
2025-08-30T13:03:03.601030,147900000,147.9,0.0,0
2025-08-30T13:03:03.689400,147925000,147.925,0.0,0
2025-08-30T13:03:03.772154,147950000,147.95,0.0,0
2025-08-30T13:03:03.860877,147975000,147.975,0.0,0
2025-08-30T13:03:03.944530,148000000,148.0,0.0,0
