timestamp,frequency_Hz,frequency_MHz,rms,active
2025-08-30T13:12:23.424348,144000000,144.0,0.0,0
2025-08-30T13:12:23.514261,144025000,144.025,0.0,0
2025-08-30T13:12:23.603205,144050000,144.05,0.0,0
2025-08-30T13:12:23.701573,144075000,144.075,0.0,0
2025-08-30T13:12:23.789366,144100000,144.1,0.0,0
2025-08-30T13:12:23.877658,144125000,144.125,0.0,0
2025-08-30T13:12:23.960816,144150000,144.15,0.0,0
2025-08-30T13:12:24.045334,144175000,144.175,0.0,0
2025-08-30T13:12:24.130484,144200000,144.2,0.0,0
2025-08-30T13:12:25.200962,144225000,144.225,0.0,0
2025-08-30T13:12:25.296001,144250000,144.25,0.0,0
2025-08-30T13:12:25.392019,144275000,144.275,0.0,0
2025-08-30T13:12:25.481264,144300000,144.3,0.0,0
2025-08-30T13:12:25.574194,144325000,144.325,0.0,0
2025-08-30T13:12:25.705128,144350000,144.35,0.0,0
2025-08-30T13:12:25.800069,144375000,144.375,0.0,0
2025-08-30T13:12:25.890408,144400000,144.4,0.0,0
2025-08-30T13:12:25.982876,144425000,144.425,0.0,0
2025-08-30T13:12:26.075088,144450000,144.45,0.0,0
2025-08-30T13:12:26.164665,144475000,144.475,0.0,0
2025-08-30T13:12:27.228971,144500000,144.5,0.0,0
2025-08-30T13:12:27.312509,144525000,144.525,0.0,0
2025-08-30T13:12:27.414783,144550000,144.55,0.0,0
2025-08-30T13:12:27.507618,144575000,144.575,0.0,0
2025-08-30T13:12:27.605507,144600000,144.6,0.0,0
2025-08-30T13:12:27.697583,144625000,144.625,0.0,0
2025-08-30T13:12:27.788836,144650000,144.65,0.0,0
2025-08-30T13:12:27.882312,144675000,144.675,0.0,0
2025-08-30T13:12:27.969255,144700000,144.7,0.0,0
2025-08-30T13:12:28.061704,144725000,144.725,0.0,0
2025-08-30T13:12:28.145319,144750000,144.75,0.0,0
2025-08-30T13:12:28.234129,144775000,144.775,0.0,0
2025-08-30T13:12:29.305771,144800000,144.8,0.0,0
2025-08-30T13:12:29.412897,144825000,144.825,0.0,0
2025-08-30T13:12:29.506853,144850000,144.85,0.0,0
2025-08-30T13:12:29.604659,144875000,144.875,0.0,0
2025-08-30T13:12:29.692683,144900000,144.9,0.0,0
2025-08-30T13:12:29.787185,144925000,144.925,0.0,0
2025-08-30T13:12:29.882281,144950000,144.95,0.0,0
2025-08-30T13:12:29.981966,144975000,144.975,0.0,0
2025-08-30T13:12:30.074118,145000000,145.0,0.0,0
