timestamp,frequency_Hz,frequency_MHz,rms,active
2025-08-30T13:28:06.369644,144000000,144.0,0.0,0
2025-08-30T13:28:07.974723,144025000,144.025,0.0,0
2025-08-30T13:28:09.580971,144050000,144.05,0.0,0
2025-08-30T13:28:11.192402,144075000,144.075,0.0,0
2025-08-30T13:28:12.803214,144100000,144.1,0.0,0
2025-08-30T13:28:14.417551,144125000,144.125,0.0,0
2025-08-30T13:28:16.030420,144150000,144.15,0.0,0
2025-08-30T13:28:17.636437,144175000,144.175,0.0,0
2025-08-30T13:28:19.249234,144200000,144.2,0.0,0
2025-08-30T13:28:20.827169,144225000,144.225,0.0,0
